name,easting,northing,lat,lon
Ensemble A,424045,564488,54.97442985,-1.625892919
Ensemble B,424044,564470,54.97426815,-1.625910043
Ensemble C,424042,564453,54.97411549,-1.625942706
Ensemble D,424041,564436,54.97396277,-1.625959747
Ensemble E,424040,564420,54.97381904,-1.625976704
Ensemble F,424039,564404,54.97367532,-1.625993661
Lysimeter 01,424048,564370,54.97336936,-1.625855904
Lysimeter 02,424049,564376,54.97342323,-1.625839781
Lysimeter 03,424049,564383,54.97348613,-1.625839197
Lysimeter 04,424049,564389,54.97354005,-1.625838696
Lysimeter 05,424050,564394,54.97358493,-1.625822657
Lysimeter 06,424050,564403,54.9736658,-1.625821906
Lysimeter 07,424051,564407,54.9737017,-1.62580595
Lysimeter 08,424051,564411,54.97373764,-1.625805616
Lysimeter 09,424052,564418,54.9738005,-1.62578941
Lysimeter 10,424052,564423,54.97384543,-1.625788993
Swale,424032,564426,54.97387334,-1.626101177
Rain Water Harvesting System (RWHS),424049,564387,54.97352207,-1.625838863
Urban Sciences Building Roof,424057,564427,54.97388113,-1.62571055
Green Roof,424082,564398,54.97361933,-1.625322431
